id,value,location,sampledate,measure
2231,0.09,Boonsri,11-Jan-98,Total phosphorus
2236,19.2,Boonsri,11-Jan-98,Chlorides
2237,36.7,Boonsri,11-Jan-98,Sulphates
2238,4.95,Boonsri,11-Jan-98,Iron
2239,0.01,Boonsri,11-Jan-98,Manganese
2240,21,Boonsri,11-Jan-98,Zinc
2241,22,Boonsri,11-Jan-98,Copper
2242,17,Boonsri,11-Jan-98,Chromium
2243,0,Boonsri,11-Jan-98,Lead
2244,0,Boonsri,11-Jan-98,Cadmium
2245,0,Boonsri,11-Jan-98,Mercury
2246,5,Boonsri,11-Jan-98,Nickel
2247,0,Boonsri,11-Jan-98,Arsenic
2248,3.6,Boonsri,11-Jan-98,Biochemical Oxygen
2249,13.8,Boonsri,11-Jan-98,Chemical Oxygen Demand (Cr)
2250,4.8,Boonsri,11-Jan-98,Chemical Oxygen Demand (Mn)
2251,0,Boonsri,11-Jan-98,AOX
2253,0,Boonsri,11-Jan-98,Atrazine
2256,0,Boonsri,11-Jan-98,Macrozoobenthos
2258,0.95,Boonsri,11-Jan-98,Total coliforms
2259,0,Boonsri,11-Jan-98,Fecal coliforms
8301,0.09,Kannika,26-Jan-98,Total phosphorus
8306,26.59,Kannika,26-Jan-98,Chlorides
8307,39.96,Kannika,26-Jan-98,Sulphates
8308,0.1,Kannika,26-Jan-98,Iron
8309,0,Kannika,26-Jan-98,Manganese
8310,0,Kannika,26-Jan-98,Zinc
8311,10,Kannika,26-Jan-98,Copper
8312,10,Kannika,26-Jan-98,Chromium
8313,0,Kannika,26-Jan-98,Lead
8314,0,Kannika,26-Jan-98,Cadmium
8315,0,Kannika,26-Jan-98,Mercury
8316,30,Kannika,26-Jan-98,Nickel
8317,0,Kannika,26-Jan-98,Arsenic
8318,2.2,Kannika,26-Jan-98,Biochemical Oxygen
8319,9.4,Kannika,26-Jan-98,Chemical Oxygen Demand (Cr)
8320,3.7,Kannika,26-Jan-98,Chemical Oxygen Demand (Mn)
8321,0,Kannika,26-Jan-98,AOX
8323,0,Kannika,26-Jan-98,Atrazine
8326,0,Kannika,26-Jan-98,Macrozoobenthos
8328,0,Kannika,26-Jan-98,Total coliforms
8329,0,Kannika,26-Jan-98,Fecal coliforms
8782,0.1,Kannika,26-Jan-98,Total phosphorus
8787,26.6,Kannika,26-Jan-98,Chlorides
8788,41.9,Kannika,26-Jan-98,Sulphates
8789,0.1,Kannika,26-Jan-98,Iron
8790,0,Kannika,26-Jan-98,Manganese
8791,0,Kannika,26-Jan-98,Zinc
8792,10,Kannika,26-Jan-98,Copper
8793,10,Kannika,26-Jan-98,Chromium
8794,0,Kannika,26-Jan-98,Lead
8795,0,Kannika,26-Jan-98,Cadmium
8796,0,Kannika,26-Jan-98,Mercury
8797,30,Kannika,26-Jan-98,Nickel
8798,0,Kannika,26-Jan-98,Arsenic
8799,2.1,Kannika,26-Jan-98,Biochemical Oxygen
8800,10,Kannika,26-Jan-98,Chemical Oxygen Demand (Cr)
8801,3.9,Kannika,26-Jan-98,Chemical Oxygen Demand (Mn)
8802,0,Kannika,26-Jan-98,AOX
8804,0,Kannika,26-Jan-98,Atrazine
8807,0,Kannika,26-Jan-98,Macrozoobenthos
8809,0,Kannika,26-Jan-98,Total coliforms
8810,0,Kannika,26-Jan-98,Fecal coliforms
9265,0.1,Kannika,26-Jan-98,Total phosphorus
9270,28.4,Kannika,26-Jan-98,Chlorides
9271,39,Kannika,26-Jan-98,Sulphates
9272,0.11,Kannika,26-Jan-98,Iron
9273,0,Kannika,26-Jan-98,Manganese
9274,0,Kannika,26-Jan-98,Zinc
9275,10,Kannika,26-Jan-98,Copper
9276,10,Kannika,26-Jan-98,Chromium
9277,0,Kannika,26-Jan-98,Lead
9278,0,Kannika,26-Jan-98,Cadmium
9279,0,Kannika,26-Jan-98,Mercury
9280,30,Kannika,26-Jan-98,Nickel
9281,0,Kannika,26-Jan-98,Arsenic
9282,2.1,Kannika,26-Jan-98,Biochemical Oxygen
9283,9.8,Kannika,26-Jan-98,Chemical Oxygen Demand (Cr)
9284,3.7,Kannika,26-Jan-98,Chemical Oxygen Demand (Mn)
9285,0,Kannika,26-Jan-98,AOX
